name,Landgrant.tf,Public.tf,AAU.tf,entry_term,UGDS,ADM_RATE,C150_4,PCTPELL,n.pell,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CoA.inState,CoA.outState,otherCosts.tot,fte.tot,fte.in.rat,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UGDS_MEN,UGDS_WOMEN
MSU,True,True,True,2022.0,39021.0,0.8795,0.8157,0.2164,8444,15372,41958,18571,1254,10990,3374,3374,34364,60950,18992,37563,1.208105646630237,0.6732,0.0663,0.0602,0.0774,0.0024,0.0007,0.0408,0.0572,0.0218,,,,,,0.4836,0.5164
Minnesota,True,True,True,2022.0,30560.0,0.7491,0.8436,0.1755,5363,15859,35099,14091,1000,11894,2346,2346,33445,52685,17586,31677,0.8885175610063686,0.6112,0.0792,0.058,0.1242,0.0031,0.0006,0.0475,0.0589,0.0172,,,,,,0.4588,0.5412
Nebraska,True,True,False,2022.0,19097.0,0.7864,0.6494,0.2229,4256,9872,26984,10151,1200,12430,3580,3580,30662,47774,20790,30941,1.0282617504051863,0.7598,0.0289,0.0888,0.0379,0.0019,0.0007,0.0355,0.037,0.0095,,,,,,0.5013,0.4987
Rutgers,True,True,True,2022.0,36090.0,0.6629,0.8446,0.2809,10137,16263,33963,15241,1350,13909,4244,11418,47184,64884,30921,46162,0.9371579659349444,0.3236,0.0683,0.1511,0.3257,0.0008,0.0009,0.0359,0.0743,0.0195,,,,,,0.5001,0.4999
Ohio State,True,True,True,2022.0,45140.0,0.5272,0.8801,0.2002,9037,12485,36722,15971,1012,14006,2682,4858,35043,59280,22558,38529,1.2792150580696837,0.6325,0.0775,0.0539,0.0906,0.0005,0.0005,0.0446,0.0696,0.0303,,,,,,0.4995,0.5005
Oregon,False,True,True,2022.0,19443.0,0.8629,0.7341,0.2341,4551,15054,41700,19070,1227,14640,2718,2718,36357,63003,21303,40373,1.2667729507107746,0.6177,0.0254,0.1536,0.0661,0.004,0.0043,0.0911,0.0236,0.0142,,,,,,0.4446,0.5554
Penn State,True,True,True,2022.0,41417.0,0.5521,0.8328,0.1379,5711,19835,38651,30669,1840,12984,4788,4104,43551,62367,23716,54385,1.5462062011595665,0.6288,0.0446,0.0838,0.0705,0.0011,0.0008,0.0362,0.1094,0.0247,,,,,,0.5301,0.4699
Washington,False,True,True,2022.0,30931.0,0.4752,0.8437,0.1682,5202,12242,40740,21161,900,16068,2880,3102,35192,63690,22950,44111,1.7285574252573108,0.3432,0.036,0.0958,0.2751,0.0032,0.0031,0.0773,0.1384,0.0279,,,,,,0.4321,0.5679
Wisconsin,True,True,True,2022.0,35184.0,0.4906,0.8923,0.1495,5260,10796,39427,17670,1150,12894,3154,3154,31148,59779,20352,38022,1.6367173027047055,0.6249,0.0225,0.0752,0.0972,0.0023,0.0007,0.0445,0.1,0.0327,,,,,,0.4692,0.5308
Purdue,True,True,True,2022.0,38438.0,0.527,0.8304,0.1412,5427,9992,28794,18015,1050,10030,1850,3530,26452,45254,16460,34475,1.8029423538831064,0.611,0.0247,0.0662,0.1262,0.0008,0.0005,0.0459,0.1104,0.0143,,,,,,0.5756,0.4244
